farm_id,region,crop_type,soil_moisture_%,soil_pH,temperature_C,rainfall_mm,humidity_%,sunlight_hours,irrigation_type,fertilizer_type,pesticide_usage_ml,sowing_date,harvest_date,total_days,yield_kg_per_hectare,sensor_id,timestamp,latitude,longitude,NDVI_index,crop_disease_status
FARM0114,North India,Rice,27.64,6.08,31.32,232.88,55.95,7.59,Manual,Organic,18.58,2024-01-22,2024-05-24,123,2884.17,SENS0114,2024-02-29,16.878848,81.134362,0.66,Mild
FARM0120,South USA,Rice,35.65,6.2,17.8,186.64,49.2,9.34,Drip,Mixed,6.52,2024-01-27,2024-06-07,132,2194.06,SENS0120,2024-01-28,20.309806,86.850894,0.44,Mild
FARM0121,North India,Rice,27.7,6.25,27.36,216.69,70.83,6.9,,Organic,5.3,2024-03-14,2024-06-12,90,2066.9,SENS0121,2024-04-18,23.393453,75.733771,0.6,Severe
FARM0135,North India,Rice,42.55,6.98,25.32,187.98,56.55,6.56,,Organic,40.9,2024-03-06,2024-06-15,101,4561.92,SENS0135,2024-04-30,19.889559,84.747767,0.83,Severe
FARM0139,South India,Rice,38.53,7.43,25.11,173.74,74.23,6.49,,Inorganic,12.53,2024-03-01,2024-07-19,140,5044.23,SENS0139,2024-05-14,10.817377,74.496868,0.47,Severe
FARM0146,Central USA,Rice,25.02,5.68,16.9,103.36,43.9,7.56,,Organic,5.36,2024-02-27,2024-06-03,97,5952.62,SENS0146,2024-04-21,27.350775,79.554005,0.44,
FARM0152,North India,Rice,13.02,6.37,24.07,202.21,55.46,8.45,Sprinkler,Organic,5.57,2024-01-23,2024-04-22,90,2655.33,SENS0152,2024-03-07,23.075134,85.659742,0.73,Mild
FARM0153,Central USA,Rice,36.24,7.25,29.66,79.51,84.99,6.01,,Inorganic,28.57,2024-02-23,2024-06-28,126,4510.13,SENS0153,2024-04-26,21.379944,77.202478,0.6,Mild
FARM0154,Central USA,Rice,18.93,5.71,26.48,230.69,51.42,7.05,Drip,Organic,16.0,2024-02-12,2024-06-05,114,5680.91,SENS0154,2024-03-05,33.279002,87.149704,0.63,Severe
FARM0160,Central USA,Rice,13.19,6.0,22.11,178.36,73.86,5.56,Sprinkler,Organic,47.84,2024-02-18,2024-07-04,137,4200.48,SENS0160,2024-03-13,21.551081,86.077935,0.38,
FARM0161,North India,Rice,14.58,7.15,22.44,207.57,72.23,7.49,Manual,Organic,5.98,2024-01-07,2024-06-02,147,4583.95,SENS0161,2024-02-08,12.299466,86.945509,0.79,
FARM0169,North India,Rice,22.14,6.14,27.72,290.77,81.08,8.02,Manual,Inorganic,5.51,2024-01-08,2024-05-21,134,2271.18,SENS0169,2024-03-13,29.6755,84.408272,0.33,Severe
FARM0170,South USA,Rice,40.96,6.49,22.57,186.51,45.07,6.88,Sprinkler,Organic,25.31,2024-01-10,2024-04-10,91,3274.87,SENS0170,2024-01-23,11.85501,73.402104,0.53,
FARM0172,Central USA,Rice,13.36,6.29,25.99,172.74,42.73,4.02,Drip,Inorganic,42.08,2024-03-20,2024-07-18,120,2798.7,SENS0172,2024-03-23,15.173825,82.763813,0.89,Severe
FARM0185,Central USA,Rice,34.02,6.78,24.51,285.17,57.92,5.8,Sprinkler,Mixed,44.44,2024-01-10,2024-04-15,96,3883.12,SENS0185,2024-04-13,16.466296,86.166877,0.76,Mild
FARM0190,South USA,Rice,22.0,7.3,22.19,97.11,87.4,9.51,,Organic,15.28,2024-03-05,2024-06-16,103,4936.31,SENS0190,2024-05-19,22.615839,72.46324,0.73,
FARM0194,Central USA,Rice,25.99,7.45,20.28,62.52,80.66,9.24,Manual,Inorganic,41.07,2024-02-14,2024-06-30,137,2463.6,SENS0194,2024-02-25,10.241808,72.767889,0.69,Moderate
FARM0203,East Africa,Rice,34.21,5.85,31.3,75.89,72.88,7.64,Manual,Mixed,44.66,2024-02-20,2024-07-17,148,4770.06,SENS0203,2024-04-23,16.839897,89.271871,0.88,Severe
FARM0204,South India,Rice,24.45,6.9,29.97,124.73,75.07,9.16,Sprinkler,Organic,14.44,2024-03-10,2024-07-21,133,3381.17,SENS0204,2024-04-12,34.533387,83.001728,0.87,Moderate
FARM0219,Central USA,Rice,41.2,5.89,29.67,206.65,76.37,9.35,Drip,Mixed,31.05,2024-03-07,2024-08-02,148,2146.63,SENS0219,2024-05-12,23.586733,89.974564,0.58,Mild
FARM0223,East Africa,Rice,25.4,5.96,25.29,120.2,47.51,4.94,Drip,Mixed,15.37,2024-02-24,2024-05-31,97,3926.07,SENS0223,2024-04-25,21.975529,81.815818,0.69,Severe
FARM0224,North India,Rice,11.51,6.65,18.22,207.39,41.96,7.43,Drip,Organic,16.62,2024-01-17,2024-05-11,115,4397.43,SENS0224,2024-03-29,25.940568,87.57018,0.74,Moderate
FARM0225,North India,Rice,25.72,7.49,32.35,92.64,81.52,7.61,Sprinkler,Mixed,34.68,2024-02-06,2024-06-21,136,4742.36,SENS0225,2024-06-01,24.913334,71.376858,0.53,Mild
FARM0232,East Africa,Rice,33.59,6.22,28.1,293.91,44.34,5.66,,Inorganic,35.13,2024-02-19,2024-05-31,102,4070.97,SENS0232,2024-05-23,27.590548,88.383548,0.63,Moderate
FARM0236,South USA,Rice,18.22,5.98,20.31,107.3,81.75,9.02,Manual,Organic,40.05,2024-01-03,2024-05-15,133,5823.12,SENS0236,2024-05-08,25.345674,85.284884,0.62,
FARM0239,South USA,Rice,24.67,7.0,22.3,150.15,62.54,7.43,Sprinkler,Organic,37.44,2024-01-18,2024-05-14,117,5425.23,SENS0239,2024-02-12,13.646093,89.182958,0.39,
FARM0249,Central USA,Rice,35.03,6.95,19.66,87.67,64.68,6.05,Manual,Inorganic,49.91,2024-02-23,2024-07-12,140,2126.95,SENS0249,2024-03-14,31.088657,89.032881,0.33,Severe
FARM0256,North India,Rice,16.25,5.56,17.14,97.9,41.59,7.85,,Mixed,27.05,2024-03-23,2024-07-28,127,3023.75,SENS0256,2024-06-24,15.51807,84.356904,0.31,Mild
FARM0292,East Africa,Rice,13.25,7.1,28.97,74.32,55.52,7.87,,Inorganic,15.43,2024-01-05,2024-05-29,145,5582.8,SENS0292,2024-03-11,32.82154,77.841538,0.72,Moderate
FARM0308,East Africa,Rice,43.27,6.78,29.16,79.99,82.82,4.78,Sprinkler,Organic,36.3,2024-02-10,2024-06-08,119,4641.91,SENS0308,2024-02-19,25.969513,88.453908,0.47,Severe
FARM0314,East Africa,Rice,35.94,5.97,16.44,233.86,64.44,4.11,Drip,Organic,36.56,2024-01-01,2024-04-11,101,4530.65,SENS0314,2024-02-09,30.518481,71.945845,0.67,
FARM0319,South USA,Rice,15.59,7.35,16.08,141.05,50.48,5.51,,Organic,9.7,2024-01-18,2024-04-28,101,2632.18,SENS0319,2024-01-21,22.126535,72.321302,0.84,Severe
FARM0322,East Africa,Rice,37.63,6.78,27.23,92.48,88.51,9.13,Drip,Inorganic,43.56,2024-02-28,2024-06-10,103,4366.32,SENS0322,2024-04-27,16.979272,84.600355,0.74,Mild
FARM0329,North India,Rice,19.66,6.89,24.93,268.75,66.03,7.76,Manual,Inorganic,48.63,2024-03-05,2024-07-03,120,3386.8,SENS0329,2024-04-30,28.442731,70.429646,0.41,
FARM0332,Central USA,Rice,17.18,6.91,28.31,294.51,47.4,6.69,Sprinkler,Mixed,18.57,2024-01-13,2024-06-10,149,3997.67,SENS0332,2024-02-19,33.694726,88.556226,0.39,Moderate
FARM0336,South USA,Rice,39.24,6.7,17.87,125.81,89.42,7.15,Manual,Organic,46.99,2024-03-25,2024-07-17,114,2353.79,SENS0336,2024-05-16,25.97015,75.466577,0.4,Severe
FARM0337,East Africa,Rice,16.97,7.16,20.79,172.65,81.14,5.81,Manual,Inorganic,30.17,2024-02-08,2024-05-09,91,5164.88,SENS0337,2024-02-27,16.566926,89.120532,0.8,Severe
FARM0340,East Africa,Rice,36.83,5.87,16.89,238.16,67.19,9.23,Manual,Inorganic,35.84,2024-03-12,2024-06-16,96,4137.68,SENS0340,2024-04-26,30.58287,70.257953,0.61,Moderate
FARM0345,North India,Rice,42.22,7.2,24.49,224.53,49.26,8.04,Drip,Organic,42.56,2024-02-14,2024-05-27,103,4057.0,SENS0345,2024-04-06,12.821137,89.692255,0.37,
FARM0346,East Africa,Rice,27.35,6.22,20.77,230.53,44.11,6.96,,Inorganic,25.56,2024-03-10,2024-07-21,133,5904.72,SENS0346,2024-07-01,15.646836,78.145644,0.89,Severe
FARM0366,East Africa,Rice,39.64,6.87,30.85,129.85,63.92,8.41,Manual,Organic,35.94,2024-02-26,2024-06-13,108,2794.65,SENS0366,2024-04-19,19.189989,77.869884,0.53,Mild
FARM0371,Central USA,Rice,27.63,7.36,32.56,82.98,55.87,7.18,Sprinkler,Inorganic,10.26,2024-01-05,2024-05-05,121,5486.72,SENS0371,2024-04-20,17.025016,77.211844,0.56,Moderate
FARM0376,Central USA,Rice,18.4,7.04,22.98,55.13,50.41,6.33,,Inorganic,34.12,2024-03-05,2024-06-10,97,3194.19,SENS0376,2024-04-29,28.397232,88.433996,0.84,Mild
FARM0386,South USA,Rice,31.76,6.06,29.99,216.76,46.45,5.2,,Organic,40.71,2024-02-10,2024-05-25,105,2837.73,SENS0386,2024-02-16,34.981531,77.175735,0.46,Mild
FARM0390,Central USA,Rice,15.31,7.01,23.43,107.05,80.09,6.48,,Inorganic,47.83,2024-03-26,2024-08-06,133,3447.1,SENS0390,2024-04-02,21.064467,85.403037,0.73,
FARM0400,South USA,Rice,41.51,6.18,15.92,217.61,62.15,5.66,Drip,Organic,36.82,2024-03-21,2024-08-08,140,5086.38,SENS0400,2024-06-08,24.026109,72.475632,0.64,Mild
FARM0405,East Africa,Rice,20.66,6.31,16.68,208.95,50.17,9.81,Manual,Mixed,49.34,2024-01-18,2024-06-16,150,3695.01,SENS0405,2024-06-08,21.29355,70.020021,0.58,Moderate
FARM0417,North India,Rice,20.91,6.37,34.19,238.59,55.56,9.31,Sprinkler,Organic,26.13,2024-03-11,2024-06-27,108,3475.32,SENS0417,2024-03-12,22.942015,83.153536,0.39,Mild
FARM0420,South USA,Rice,38.91,5.51,15.2,139.47,67.73,4.85,,Organic,33.41,2024-02-02,2024-05-03,91,2796.49,SENS0420,2024-03-09,14.353665,87.707645,0.73,Moderate
FARM0421,East Africa,Rice,16.25,5.54,31.86,277.66,41.05,8.06,,Mixed,40.43,2024-01-11,2024-06-08,149,2840.95,SENS0421,2024-05-06,16.003748,86.189755,0.7,Severe
FARM0428,South USA,Rice,17.94,7.0,24.49,178.96,79.3,8.55,,Inorganic,40.64,2024-02-28,2024-06-09,102,3715.17,SENS0428,2024-05-27,20.442197,78.773616,0.81,
FARM0429,Central USA,Rice,30.21,5.76,33.87,52.42,80.52,9.01,Manual,Organic,23.86,2024-03-25,2024-07-18,115,5051.37,SENS0429,2024-06-21,23.4401,76.52159,0.31,
FARM0430,South India,Rice,44.2,7.49,26.36,249.79,85.69,7.44,,Inorganic,14.19,2024-02-03,2024-06-06,124,3545.74,SENS0430,2024-04-03,12.715959,81.3903,0.57,Moderate
FARM0431,North India,Rice,13.65,6.61,15.64,222.26,64.43,5.12,Drip,Inorganic,17.77,2024-01-10,2024-05-21,132,4097.58,SENS0431,2024-05-05,11.43633,80.370634,0.4,Severe
FARM0432,South USA,Rice,44.64,5.76,23.37,235.79,59.45,9.42,Sprinkler,Organic,44.17,2024-02-14,2024-07-05,142,4838.69,SENS0432,2024-06-14,13.969531,81.501828,0.49,Mild
FARM0435,North India,Rice,41.81,6.32,30.24,80.31,58.44,8.53,Manual,Inorganic,25.29,2024-02-07,2024-06-08,122,2178.54,SENS0435,2024-02-10,11.829887,83.889714,0.75,Severe
FARM0439,South India,Rice,11.54,6.53,31.31,130.67,71.34,7.75,,Inorganic,10.44,2024-01-04,2024-04-25,112,3293.47,SENS0439,2024-01-05,20.053487,76.324804,0.53,Severe
FARM0441,Central USA,Rice,32.24,7.27,21.36,262.89,64.11,6.01,,Inorganic,28.0,2024-03-08,2024-07-08,122,4349.87,SENS0441,2024-03-09,15.815148,82.326973,0.84,Moderate
FARM0450,South USA,Rice,39.04,6.01,21.04,291.92,72.92,6.3,Manual,Mixed,23.52,2024-03-28,2024-07-01,95,2437.1,SENS0450,2024-06-09,29.417278,76.887856,0.39,Mild
FARM0464,North India,Rice,21.32,7.08,32.32,63.53,86.73,5.82,Sprinkler,Mixed,11.19,2024-03-16,2024-07-02,108,5588.87,SENS0464,2024-04-11,15.453412,84.96765,0.74,
FARM0467,East Africa,Rice,10.81,6.65,26.45,118.43,77.27,8.77,Sprinkler,Inorganic,26.79,2024-03-23,2024-07-18,117,3193.45,SENS0467,2024-04-08,12.486031,71.269966,0.85,Mild
FARM0475,South India,Rice,23.26,6.97,16.06,231.35,88.72,8.25,Sprinkler,Mixed,32.39,2024-03-15,2024-06-24,101,3755.84,SENS0475,2024-04-29,29.961722,80.044585,0.47,Severe
FARM0476,East Africa,Rice,20.68,7.22,33.95,151.63,55.64,4.54,Drip,Organic,37.85,2024-01-06,2024-05-11,126,2229.65,SENS0476,2024-04-10,17.146272,88.59178,0.79,
FARM0484,Central USA,Rice,33.32,6.36,24.48,245.68,45.15,8.38,Sprinkler,Organic,49.66,2024-03-21,2024-07-29,130,2594.9,SENS0484,2024-04-20,13.307395,70.767329,0.89,Mild
FARM0486,South USA,Rice,21.19,5.6,15.82,63.03,77.24,5.27,,Inorganic,45.88,2024-01-14,2024-04-24,101,3009.05,SENS0486,2024-03-16,19.089531,76.087134,0.36,
FARM0487,East Africa,Rice,21.59,6.98,22.23,244.7,66.44,6.23,Manual,Organic,31.29,2024-01-04,2024-04-11,98,4518.23,SENS0487,2024-03-21,13.008859,81.731229,0.85,Mild
FARM0495,North India,Rice,12.52,5.99,33.18,292.6,45.01,7.16,Drip,Mixed,9.49,2024-02-01,2024-05-08,97,5306.25,SENS0495,2024-05-08,30.762928,88.693555,0.38,
FARM0496,Central USA,Rice,42.85,6.7,30.85,52.35,79.58,7.25,Manual,Mixed,8.82,2024-01-16,2024-06-02,138,4251.4,SENS0496,2024-05-08,30.386623,76.1477,0.59,Mild
