N,P,K,Soil_pH,Soil_Moisture,Soil_Type,Organic_Carbon,Temperature,Humidity,Rainfall,Sunlight_Hours,Wind_Speed,Region,Altitude,Season,Crop_Type,Irrigation_Type,Fertilizer_Used,Pesticide_Used,Predicted_Yield
1,2,1,4,2,5,2,3,4,0,0,3,2,3,5,2,3,2,4,24.92750000000001
0,2,0,1,3,5,1,3,1,1,1,0,0,3,0,4,3,2,1,74.18192660550459
1,2,3,1,0,0,4,1,1,0,3,1,3,3,0,2,5,3,3,24.029944444444446
3,2,2,2,0,0,3,2,3,0,2,0,0,4,5,4,5,4,0,74.78376146788992
1,3,4,4,1,1,0,2,1,0,2,3,2,2,0,1,0,4,3,9.537285067873302
2,2,3,0,2,1,4,0,0,4,3,3,1,0,5,1,0,3,3,11.034971098265904
4,2,0,1,1,1,4,3,2,1,3,0,1,1,0,4,3,4,2,74.78376146788992
1,3,1,4,0,5,2,4,0,0,1,2,3,0,2,5,0,2,3,6.999615384615385
4,0,2,2,1,0,0,4,3,0,4,3,0,3,5,4,1,1,3,73.27591304347824
0,3,2,3,2,3,4,3,4,3,1,4,0,0,0,2,0,1,4,24.509677419354837
2,3,1,3,0,1,0,4,1,3,1,1,0,4,5,3,5,4,2,10.942600732600736
0,4,3,1,3,3,3,0,4,1,3,0,1,0,5,5,5,3,4,8.082162162162161
4,1,2,2,2,5,1,3,1,1,1,1,5,3,2,3,3,1,3,8.382038834951457
2,4,3,2,2,1,4,1,1,1,2,2,1,3,0,5,0,2,3,8.082162162162161
1,1,2,3,2,1,4,0,3,1,1,3,0,3,5,2,1,3,0,24.92750000000001
0,1,2,4,3,3,3,2,0,3,4,1,1,4,2,5,1,4,1,10.302058823529412
0,4,4,3,4,3,1,2,0,4,2,2,5,4,2,1,3,2,1,12.080891089108912
2,1,1,0,3,0,3,2,2,2,0,2,1,2,0,4,5,4,0,76.19823529411767
1,0,4,3,2,3,2,3,0,1,0,0,5,2,5,3,0,1,2,8.768073394495408
4,2,2,2,3,5,0,3,2,1,1,4,1,0,0,5,1,3,0,10.1746875
2,2,1,2,2,1,3,0,3,4,2,3,2,0,0,3,5,3,1,10.942600732600736
3,4,1,1,1,3,0,3,1,0,0,2,1,0,2,3,3,4,2,8.945600000000002
3,3,4,3,1,5,2,0,4,2,4,3,2,1,2,3,0,2,2,8.945600000000002
0,0,3,3,1,3,2,2,1,3,2,0,5,2,5,2,5,4,1,26.050513833992078
1,2,1,2,0,3,4,0,1,1,2,3,2,1,5,2,1,2,0,24.029944444444446
2,1,1,4,0,3,2,2,4,0,3,0,5,4,2,2,1,3,3,24.029944444444446
1,0,1,0,0,0,3,0,3,3,1,0,3,4,0,1,0,1,3,9.285496183206106
3,2,3,1,4,1,2,3,2,2,2,4,3,2,0,3,3,4,1,10.942600732600736
4,0,0,2,0,1,2,4,1,3,1,3,5,1,0,0,0,4,3,8.849047619047626
0,2,2,4,2,1,1,0,3,4,2,0,1,3,0,3,3,3,1,10.942600732600736
4,1,4,0,4,0,1,3,2,1,3,4,2,3,2,5,5,1,3,8.16909090909091
1,0,1,1,3,3,3,0,1,4,1,4,0,1,0,1,3,0,3,10.23457831325301
3,0,1,4,2,1,0,2,4,0,4,3,1,3,0,1,0,0,1,8.675300546448087
0,2,4,4,3,1,0,3,3,0,1,0,2,2,2,4,5,3,1,75.71182608695652
1,4,3,4,1,3,4,2,4,4,1,2,5,2,2,2,5,3,2,26.050513833992078
4,0,2,1,0,1,1,0,4,1,4,3,5,1,5,3,5,3,0,8.945600000000002
1,3,3,4,4,3,1,1,0,1,1,0,5,1,5,2,3,3,4,24.92750000000001
0,3,3,2,0,0,3,2,1,0,0,1,1,3,5,1,3,4,0,9.537285067873302
3,1,3,3,4,1,2,1,0,0,2,0,1,2,5,2,5,2,4,24.92750000000001
1,3,0,1,0,1,2,3,1,3,1,2,2,3,2,1,0,2,4,11.034971098265904
0,3,1,3,3,3,0,4,4,2,2,1,3,3,5,0,1,1,0,6.5166134185303495
1,3,3,1,2,5,3,3,4,3,3,1,5,0,2,4,1,4,2,77.22950000000002
2,4,1,1,4,0,0,2,4,1,1,2,1,4,2,5,5,4,3,10.1746875
3,3,3,3,1,1,3,0,3,4,3,1,0,1,2,5,1,1,4,8.938058252427181
1,3,0,1,4,3,2,1,2,1,1,3,3,0,5,4,3,1,0,73.27591304347824
0,3,3,1,2,0,4,2,3,2,4,3,2,4,5,2,0,3,1,26.050513833992078
4,2,2,1,3,3,0,4,4,1,4,1,5,0,0,4,1,0,1,73.27591304347824
1,0,0,3,3,5,1,1,0,4,0,3,3,4,0,5,5,1,4,8.938058252427181
0,2,4,1,0,1,4,1,2,4,0,0,0,3,5,4,5,4,4,75.74634615384616
1,0,2,3,3,5,3,2,2,2,2,3,1,3,0,0,3,2,3,6.5166134185303495
2,4,0,3,1,1,4,4,4,1,3,2,3,4,5,0,5,1,3,6.5166134185303495
2,0,3,3,1,5,1,2,0,3,4,3,1,0,5,5,5,2,2,8.938058252427181
2,4,1,2,3,1,2,0,3,1,3,1,1,1,5,3,5,0,1,7.288068965517241
0,4,3,3,4,3,0,0,4,4,4,1,1,4,2,3,3,2,1,10.164502617801048
2,2,1,0,2,0,4,4,3,1,2,0,1,1,0,0,0,0,2,5.338695652173913
4,0,1,1,2,1,0,3,0,2,3,3,0,3,5,2,3,1,0,24.509677419354837
4,0,0,3,2,1,4,1,3,4,4,1,1,2,5,1,3,4,1,11.034971098265904
2,3,1,4,4,3,3,3,1,3,3,2,5,0,0,1,3,2,3,12.080891089108912
4,1,2,0,4,5,4,3,3,3,2,3,0,2,5,5,3,1,4,8.938058252427181
2,4,1,2,3,1,1,3,2,0,2,1,0,2,2,3,1,4,2,9.811140939597317
4,2,5,4,1,5,1,4,4,1,2,2,2,3,5,5,1,1,2,7.846071428571428
1,4,3,4,1,3,0,0,0,3,0,1,1,2,5,3,0,3,0,10.942600732600736
4,4,3,0,0,1,2,4,0,4,3,3,3,4,0,0,3,1,4,8.171690821256044
0,0,1,2,4,0,4,4,3,0,2,4,0,4,2,1,0,1,2,8.675300546448087
1,4,4,0,4,1,2,0,1,4,0,4,2,4,2,3,3,2,4,10.164502617801048
0,1,1,3,3,3,2,0,3,3,3,2,3,2,0,4,0,2,3,75.35153005464484
4,1,0,1,4,5,1,2,4,4,3,0,3,0,0,4,0,2,2,75.35153005464484
2,4,3,3,1,1,2,0,2,3,0,4,0,2,5,0,0,4,1,8.849047619047626
0,4,4,4,3,3,3,3,0,0,2,4,3,0,0,2,3,3,3,24.92750000000001
1,0,2,4,2,3,2,3,2,1,2,0,1,0,0,5,3,4,3,9.010185185185188
1,4,4,4,2,3,1,3,1,2,1,1,1,2,0,2,0,1,1,24.509677419354837
2,2,1,1,3,5,2,4,3,1,3,0,3,3,2,5,0,2,0,7.846071428571428
1,0,4,0,1,5,1,4,2,3,2,4,1,0,5,1,5,4,3,11.034971098265904
3,3,0,3,3,0,4,1,4,2,2,0,1,4,5,2,0,1,2,25.472265193370177
3,3,1,2,3,0,2,1,4,4,1,1,0,1,5,4,3,3,1,76.54311111111109
1,1,0,0,4,1,2,3,4,0,1,4,2,1,0,4,1,2,3,74.18192660550459
3,1,1,1,3,3,4,1,1,2,4,2,3,2,2,4,0,2,3,75.35153005464484
4,4,2,4,1,0,1,3,4,4,2,2,1,0,5,4,1,1,1,75.35153005464484
0,0,3,4,2,5,0,4,4,0,1,1,5,0,2,2,3,1,0,22.637553191489346
0,2,3,1,0,3,4,2,3,2,2,0,2,1,2,3,1,4,1,10.942600732600736
4,0,1,1,1,1,2,2,4,1,2,0,5,1,5,5,1,0,4,6.176052631578948
3,4,2,2,2,3,1,4,0,4,2,2,3,2,2,5,1,2,1,8.938058252427181
0,1,4,4,0,0,1,2,3,3,2,4,0,1,2,1,0,3,0,11.034971098265904
4,0,1,2,2,0,2,1,0,1,0,3,0,1,5,3,5,0,4,7.288068965517241
0,0,1,4,1,3,3,1,1,4,2,3,2,3,0,3,3,2,0,10.164502617801048
2,1,0,4,0,5,2,0,3,1,1,1,3,1,5,3,1,4,4,8.945600000000002
1,2,3,4,2,3,1,1,1,1,2,2,1,0,0,4,3,4,3,74.78376146788992
4,3,4,3,1,3,3,3,1,3,3,1,3,0,0,2,3,4,2,26.050513833992078
2,2,1,4,0,3,0,0,1,2,1,1,0,4,0,5,0,2,3,7.74842519685039
3,4,2,4,1,3,3,1,2,4,0,2,5,3,5,3,0,3,0,10.164502617801048
1,2,3,1,1,3,2,0,0,3,3,4,1,0,2,4,0,0,2,73.78021739130435
3,3,1,1,1,5,1,2,4,2,3,4,5,2,5,0,1,4,2,8.849047619047626
4,0,3,4,1,1,4,0,3,1,4,3,5,0,5,2,5,0,0,22.637553191489346
4,0,1,0,2,1,3,3,2,1,1,1,5,3,2,1,3,0,3,8.675300546448087
0,3,4,2,0,0,1,4,0,0,0,0,1,4,2,2,0,4,0,24.029944444444446
1,0,1,4,0,5,3,0,0,2,4,1,0,1,5,4,5,1,1,72.96228571428571
0,1,1,4,3,3,4,1,0,3,0,4,0,0,0,0,3,3,3,9.72762886597938
2,3,3,0,1,5,4,0,0,1,2,0,2,2,2,0,1,4,4,8.074245283018866
2,1,4,2,3,1,3,0,3,4,2,3,5,0,0,2,5,1,2,25.472265193370177
0,1,1,2,1,3,3,1,2,4,3,4,5,4,0,0,5,4,4,8.849047619047626
2,1,1,1,4,5,3,1,1,4,4,2,2,0,0,2,3,1,1,25.472265193370177
1,1,1,4,1,0,0,1,1,3,2,0,1,0,5,3,0,3,4,10.942600732600736
2,0,2,3,3,1,2,2,2,0,0,2,2,1,2,3,3,2,1,9.811140939597317
4,4,1,4,1,3,4,3,2,2,4,3,3,4,2,3,5,3,2,10.942600732600736
0,3,2,0,2,3,1,4,0,1,3,3,1,3,0,2,0,1,4,22.637553191489346
0,1,1,1,2,3,2,2,2,4,4,2,3,3,2,1,3,3,2,11.034971098265904
3,0,3,4,0,3,4,4,0,3,2,3,3,1,5,1,5,3,3,11.034971098265904
1,3,2,2,0,3,0,3,4,3,0,1,5,4,0,1,0,0,4,9.285496183206106
2,4,4,1,4,3,1,3,3,2,0,1,1,3,0,3,1,3,4,10.164502617801048
0,1,3,4,4,5,0,2,0,4,3,4,2,1,2,0,1,1,1,8.171690821256044
2,2,2,4,3,0,2,2,1,0,1,1,0,4,5,0,1,4,3,8.074245283018866
4,3,2,2,4,5,4,2,4,1,4,3,5,3,0,4,1,1,4,74.18192660550459
3,3,4,2,0,5,2,2,0,2,1,0,0,1,5,4,1,3,0,74.78376146788992
4,0,2,0,3,3,0,2,0,2,1,2,5,0,5,5,3,2,2,10.302058823529412
4,0,0,4,1,3,1,3,2,3,0,0,3,3,2,1,3,3,4,11.034971098265904
0,3,2,4,2,5,4,1,1,3,0,1,0,0,5,1,1,0,2,10.23457831325301
4,1,0,0,3,1,2,1,4,0,0,0,1,4,5,5,1,1,2,7.0563636363636375
3,3,3,0,0,3,4,0,2,3,0,4,1,2,5,5,5,3,4,8.94265306122449
0,4,4,4,3,3,4,4,4,1,1,0,1,1,5,2,5,0,3,23.508602150537637
3,4,0,0,2,1,2,4,1,2,0,1,1,0,2,5,1,4,3,10.302058823529412
4,0,4,4,2,5,3,1,1,2,3,3,5,0,5,2,3,3,3,26.050513833992078
2,1,3,5,4,1,3,0,1,3,3,4,1,3,0,4,5,0,3,73.78021739130435
1,1,3,4,4,3,3,4,3,3,0,4,0,3,0,5,3,2,3,10.302058823529412
1,1,1,3,0,0,1,2,3,1,4,3,3,4,2,4,1,4,1,74.78376146788992
3,0,2,2,3,1,1,0,2,4,1,4,0,2,5,3,1,0,0,9.612916666666669
3,2,0,0,2,1,3,1,0,0,2,4,2,1,5,2,0,0,2,22.637553191489346
3,0,3,3,0,3,4,3,1,1,4,2,2,0,5,2,1,1,0,24.029944444444446
2,3,4,1,4,1,2,0,1,2,1,0,1,4,2,2,5,2,0,25.472265193370177
1,3,3,2,0,3,1,2,4,1,1,2,1,1,2,4,5,2,4,72.96228571428571
0,0,2,1,0,0,4,2,4,4,4,2,1,4,5,4,3,2,2,75.35153005464484
1,1,3,1,0,0,3,3,1,4,0,2,2,1,2,4,3,3,3,75.74634615384616
4,3,1,1,1,5,1,0,0,0,3,1,0,3,2,5,1,3,4,9.010185185185188
4,3,2,4,0,3,2,4,0,2,4,3,1,4,5,2,1,0,2,22.637553191489346
3,1,0,2,3,0,4,0,0,4,3,2,5,2,5,3,5,2,4,9.612916666666669
3,3,4,1,2,3,3,2,4,0,1,2,2,4,5,5,3,0,3,7.0563636363636375
3,1,1,2,2,1,1,1,4,0,4,1,0,2,0,3,5,3,1,8.945600000000002
2,4,0,0,0,1,1,0,0,4,0,2,2,4,2,1,5,3,0,11.034971098265904
3,1,4,4,2,3,1,2,0,1,3,3,5,4,0,5,0,4,3,9.010185185185188
0,1,3,2,1,3,4,0,3,3,3,0,5,1,0,2,0,4,4,26.050513833992078
4,1,1,0,1,1,3,3,1,3,3,4,0,4,0,3,5,4,2,10.942600732600736
1,2,3,1,1,3,4,0,0,3,2,2,3,3,5,0,3,0,4,6.877452229299362
2,2,0,4,0,1,0,2,2,0,4,4,1,0,5,0,0,4,0,7.221184210526316
4,3,0,2,1,5,0,1,0,2,2,2,5,0,5,5,3,4,4,9.81144578313253
4,4,1,1,3,5,3,4,2,3,1,0,3,4,5,5,5,4,4,10.302058823529412
4,0,1,2,0,5,1,3,1,2,2,2,1,1,5,5,0,0,1,6.276666666666666
4,0,0,1,1,3,3,3,1,4,4,2,3,0,2,1,5,3,0,11.034971098265904
1,0,3,0,2,1,3,3,1,0,0,3,5,1,2,4,1,4,4,74.73657142857142
2,1,4,4,4,0,1,3,1,1,1,0,0,4,2,0,3,0,4,6.5166134185303495
4,4,2,1,4,0,4,0,0,0,2,2,5,2,2,4,5,2,4,74.18192660550459
4,0,4,4,4,1,3,4,2,4,4,1,5,1,2,1,1,2,1,12.080891089108912
1,0,2,2,4,1,1,3,2,1,1,4,1,3,2,2,5,0,1,23.508602150537637
0,4,3,0,2,1,2,4,3,3,2,1,2,4,5,2,0,1,2,25.472265193370177
2,3,1,4,4,1,3,2,0,0,0,0,0,4,2,5,0,1,2,7.846071428571428
3,2,3,1,2,1,1,1,4,0,0,2,1,2,0,3,3,4,2,9.811140939597317
3,2,1,3,1,0,1,2,0,0,1,4,5,4,2,2,3,3,1,24.029944444444446
4,4,2,4,1,5,3,1,4,1,3,3,0,4,5,5,1,0,0,8.16909090909091
4,0,0,4,2,1,0,0,1,2,1,3,2,2,5,0,3,2,4,6.5166134185303495
3,3,2,0,4,3,4,3,2,0,4,4,0,2,2,3,0,0,3,7.288068965517241
4,0,4,0,0,5,1,3,1,3,4,0,5,1,5,4,0,4,0,76.19823529411767
2,1,0,2,0,0,1,0,1,3,1,1,0,1,5,5,3,0,3,6.276666666666666
3,0,0,1,3,1,1,1,2,1,0,1,5,0,2,2,1,0,0,23.508602150537637
0,2,2,2,3,3,3,3,1,1,2,1,0,4,0,3,5,1,0,7.288068965517241
4,3,4,0,4,0,0,1,2,0,3,0,0,0,2,5,1,4,0,10.1746875
4,2,3,2,4,5,4,4,1,1,0,2,0,2,5,3,1,2,3,9.811140939597317
2,4,0,0,1,5,1,0,4,3,0,0,2,3,0,3,5,0,2,8.768073394495408
4,1,2,4,0,3,4,4,1,3,1,3,5,0,0,5,3,0,1,7.74842519685039
4,1,0,3,1,1,1,4,3,4,3,2,5,3,0,2,1,1,3,24.509677419354837
3,0,4,0,4,3,2,4,2,4,1,3,2,3,0,4,1,2,2,75.35153005464484
1,3,0,4,0,3,3,0,0,2,3,2,5,0,5,1,0,3,1,11.034971098265904
4,0,2,1,0,0,3,1,0,0,2,3,2,1,5,3,5,3,0,8.945600000000002
1,0,0,1,1,3,2,1,4,1,0,0,0,3,2,0,5,0,0,5.338695652173913
2,3,3,0,1,3,3,4,4,2,4,0,2,4,0,5,1,3,1,8.94265306122449
3,2,4,4,1,5,2,4,0,2,3,4,3,4,2,3,3,0,1,8.768073394495408
4,4,2,2,4,0,1,0,0,0,3,4,5,3,0,1,5,2,1,10.871235955056179
0,0,4,0,3,1,3,0,0,1,2,2,2,1,2,3,5,0,0,7.288068965517241
1,1,1,4,4,5,4,2,2,0,0,4,0,3,0,3,0,4,3,9.811140939597317
3,3,1,1,1,3,2,0,3,2,4,0,3,1,0,3,5,1,2,8.768073394495408
0,3,4,4,2,1,1,2,1,4,2,4,3,4,2,1,3,4,3,11.034971098265904
4,0,0,1,2,0,3,4,1,0,0,0,2,2,5,3,0,4,2,8.945600000000002
2,4,0,4,2,5,3,2,1,4,1,3,0,4,5,1,3,2,3,9.285496183206106
3,0,1,3,1,1,1,3,2,1,0,2,2,2,5,5,0,2,4,8.082162162162161
1,3,2,4,3,3,1,1,0,3,2,4,0,3,2,2,5,4,0,27.17615384615385
3,2,1,4,2,3,0,1,0,3,3,2,3,4,2,1,3,1,2,10.23457831325301
0,1,1,4,0,1,0,2,3,1,4,1,3,2,0,4,5,0,1,71.00833333333334
4,0,4,2,0,5,4,4,2,1,4,1,5,4,2,0,3,2,0,6.5166134185303495
1,1,0,4,0,1,1,2,3,2,1,3,0,0,0,4,1,2,1,74.61652631578949
4,4,3,3,0,3,1,0,0,4,1,4,0,4,5,0,5,2,4,8.171690821256044
1,2,0,0,1,0,1,1,4,0,2,2,5,0,5,5,3,4,4,9.010185185185188
0,4,4,4,1,5,0,3,4,1,3,4,0,0,0,3,0,2,0,8.382038834951457
3,1,0,2,0,3,4,0,2,4,3,0,3,3,0,4,3,2,4,75.35153005464484
4,1,2,0,2,3,1,0,0,3,4,2,2,3,0,2,0,0,3,24.509677419354837
1,0,2,2,4,1,0,0,0,1,1,2,5,1,5,4,1,0,0,73.27591304347824
4,2,4,3,0,3,4,1,0,0,0,4,2,0,0,4,5,2,3,72.96228571428571
4,0,2,2,1,5,3,1,0,2,0,4,1,2,0,1,3,4,0,11.034971098265904
1,3,2,2,2,1,3,0,4,2,4,0,0,2,2,3,0,4,2,10.942600732600736
3,3,4,1,3,0,1,0,4,1,0,2,5,0,0,0,5,2,1,6.5166134185303495
3,3,4,3,3,3,2,1,1,3,1,2,1,4,2,2,3,2,2,25.472265193370177
2,0,1,4,2,5,4,2,4,2,0,2,0,1,5,5,5,3,4,10.302058823529412
3,3,3,1,3,5,3,2,3,1,0,4,2,0,2,0,3,0,0,5.338695652173913
3,4,1,3,4,0,1,1,1,1,2,3,2,3,0,0,1,1,1,6.5166134185303495
2,1,1,1,4,5,0,4,0,1,1,2,5,4,5,3,0,0,2,7.288068965517241
3,4,1,0,2,5,4,2,0,3,3,2,2,2,0,2,3,2,3,24.509677419354837
3,1,1,2,4,0,4,3,1,2,1,4,2,1,2,4,0,3,2,74.73657142857142
3,1,3,0,3,3,3,4,0,1,2,4,0,2,0,1,5,2,0,10.871235955056179
4,4,4,3,3,5,3,4,0,3,4,1,2,1,0,1,1,1,0,10.23457831325301
4,1,2,3,3,1,2,4,1,0,2,0,2,1,5,2,3,2,3,24.92750000000001
3,1,1,1,4,5,4,2,0,4,2,0,5,0,2,1,5,1,0,10.23457831325301
2,1,3,2,4,1,3,3,0,4,0,1,1,2,5,4,3,0,4,74.69249999999998
1,0,2,4,0,5,0,1,1,3,2,4,2,4,2,5,0,3,4,9.81144578313253
2,4,3,0,2,3,0,4,3,1,0,4,1,2,2,0,1,0,4,6.5166134185303495
1,2,1,2,4,5,4,1,2,4,0,4,5,2,5,0,3,4,2,9.72762886597938
4,0,1,4,1,1,4,3,3,4,2,2,1,2,5,3,0,3,1,10.164502617801048
0,2,3,4,1,5,2,2,4,4,2,2,5,4,2,3,3,4,4,10.942600732600736
1,0,0,2,0,1,1,1,0,0,3,1,0,0,5,0,1,0,4,5.338695652173913
4,0,4,1,2,0,2,1,4,3,2,3,0,1,5,4,0,1,1,74.61652631578949
4,3,2,0,3,5,3,2,1,4,3,4,0,3,5,4,3,0,4,74.69249999999998
4,2,4,0,0,5,0,4,1,2,4,4,2,1,5,5,5,0,4,6.276666666666666
4,1,0,3,3,1,4,0,3,2,4,3,0,2,2,0,1,3,4,8.074245283018866
4,4,3,0,4,1,2,4,1,2,1,1,1,1,5,0,1,4,4,8.074245283018866
4,0,0,4,1,3,2,4,0,3,2,2,1,4,5,2,0,3,1,26.050513833992078
1,1,0,2,0,0,2,2,3,4,2,1,2,1,5,4,0,0,1,74.69249999999998
3,2,0,0,4,1,3,0,0,2,2,4,2,1,5,2,5,4,4,27.17615384615385
3,1,3,1,4,3,1,4,4,4,4,4,3,1,5,2,0,3,1,26.050513833992078
0,2,0,2,1,1,3,3,4,2,1,4,1,3,0,5,0,4,2,9.010185185185188
1,2,2,0,3,0,0,2,0,0,2,4,3,3,0,1,1,3,0,9.537285067873302
3,2,0,3,2,0,4,4,3,0,0,1,2,0,5,1,3,2,3,9.537285067873302
1,0,1,4,1,0,4,3,4,2,3,1,1,1,0,3,0,0,2,8.768073394495408
0,0,3,4,4,0,1,1,4,4,1,0,0,0,0,1,0,0,3,10.23457831325301
0,1,2,3,2,5,0,0,2,4,4,3,0,2,0,3,0,4,1,10.942600732600736
0,4,1,4,3,0,3,3,1,4,0,4,2,1,0,5,3,0,3,8.938058252427181
0,4,1,3,1,0,2,1,0,2,4,0,5,1,5,5,1,3,2,9.81144578313253
0,3,1,2,4,3,4,1,4,1,2,2,2,0,0,3,1,1,4,7.288068965517241
3,4,4,3,1,0,1,2,0,3,2,1,1,4,2,0,0,4,0,8.849047619047626
0,4,2,1,1,1,4,3,2,4,3,3,2,0,2,1,1,2,3,11.034971098265904
3,4,0,0,1,1,0,4,0,0,1,4,2,4,0,0,1,1,1,6.5166134185303495
2,4,0,3,1,1,3,1,1,1,4,1,0,4,5,5,5,1,0,7.74842519685039
1,4,3,4,4,5,3,4,0,3,1,3,1,3,0,3,1,2,2,9.612916666666669
4,0,0,2,0,1,2,3,0,1,3,1,2,4,5,5,0,0,1,6.176052631578948
0,3,1,2,2,0,4,4,1,4,0,4,0,4,5,5,0,1,2,8.938058252427181
1,2,3,2,4,5,4,4,4,4,3,0,1,0,0,3,3,0,1,9.612916666666669
1,4,3,2,2,0,4,1,2,2,1,3,0,1,2,1,5,4,3,11.034971098265904
0,3,0,2,1,3,2,3,2,4,3,0,0,4,5,1,1,1,3,9.285496183206106
1,4,0,4,3,0,2,4,3,1,4,3,2,2,0,1,0,0,2,8.675300546448087
3,2,1,2,2,1,1,3,2,4,0,4,5,0,2,4,1,4,3,77.22950000000002
0,3,1,0,0,3,0,2,1,1,0,4,2,1,5,2,3,0,3,22.637553191489346
3,2,4,3,1,3,2,1,4,3,3,0,1,4,5,3,1,3,2,10.942600732600736
4,1,3,1,2,3,0,0,2,3,0,0,0,3,5,5,0,0,0,8.938058252427181
1,4,3,3,3,3,0,4,3,3,0,4,5,0,2,1,3,0,1,10.23457831325301
0,1,3,2,2,5,1,3,4,2,0,1,1,3,0,4,5,3,0,75.74634615384616
3,2,1,3,1,0,0,1,0,3,0,0,3,4,0,5,0,0,0,8.938058252427181
1,2,1,0,2,3,2,0,2,0,4,1,0,2,5,4,1,2,0,74.18192660550459
3,2,2,0,1,5,3,3,3,4,4,2,1,0,2,4,0,3,2,76.54311111111109
3,4,0,1,1,5,3,4,2,2,2,0,3,3,2,1,1,3,3,11.034971098265904
3,1,3,3,4,5,2,2,4,2,2,0,5,0,0,4,5,0,0,73.78021739130435
2,0,0,1,1,0,2,4,4,2,1,2,0,0,5,2,1,0,0,24.509677419354837
4,1,4,2,1,3,2,1,0,2,2,2,1,4,5,0,3,1,2,8.171690821256044
0,1,3,4,4,0,1,3,1,3,4,4,5,3,0,3,5,4,4,10.942600732600736
0,4,2,1,0,5,3,1,1,0,2,2,5,3,0,3,3,4,3,8.945600000000002
1,2,3,4,2,5,3,1,2,4,0,2,3,1,2,4,1,2,4,75.35153005464484
1,0,1,4,3,0,1,3,1,4,0,4,1,0,2,5,3,0,1,8.938058252427181
2,2,1,4,1,5,3,0,1,0,4,0,5,2,0,5,0,3,4,8.082162162162161
3,2,3,4,4,5,4,1,2,2,1,2,3,4,0,4,3,1,2,75.35153005464484
0,1,4,2,3,1,2,0,2,3,0,2,1,1,5,2,1,4,1,27.17615384615385
3,1,1,3,2,5,0,1,2,1,3,3,3,2,5,3,1,3,2,8.945600000000002
1,3,2,3,0,0,1,3,0,3,4,2,1,2,5,5,0,0,3,7.74842519685039
2,0,0,1,4,3,0,4,2,3,1,2,1,2,2,2,0,3,3,26.050513833992078
4,0,4,1,3,3,1,0,0,1,4,2,0,1,2,1,1,4,1,9.537285067873302
4,4,0,1,2,0,1,1,3,1,4,3,1,0,5,0,5,1,0,6.5166134185303495
0,4,2,1,4,0,2,0,3,3,2,3,1,0,0,5,5,0,0,8.938058252427181
3,4,3,3,2,5,2,4,1,3,4,2,3,1,5,5,1,2,1,8.938058252427181
4,3,4,4,2,0,3,0,0,4,4,0,5,4,2,4,1,3,4,76.54311111111109
1,1,4,4,4,0,1,3,3,4,0,4,5,2,2,0,1,4,1,9.72762886597938
1,4,0,1,1,5,0,0,3,0,4,4,5,0,0,2,0,4,3,24.92750000000001
